inchi;smi;pIC50_pred;mpo;pfi;psa;logp;n_aromatic;n_rot_bonds;n_chiral;h_acc;mw;h_don
InChI=1S/C17H23NO4S/c1-6-11(2)10-21-15-8-7-14(9-16(15)23(5,19)20)17-12(3)18-22-13(17)4/h7-9,11H,6,10H2,1-5H3;CCC(C)COC1=C(S(C)(=O)=O)C=C(C2=C(C)ON=C2C)C=C1;5.444529245622574;-5.1124312331814;5.265999794006348;69.4000015258789;3.2659997940063477;2;6;1;5;337.43;0
InChI=1S/C17H19N3O4/c1-9-15(10(2)24-20-9)11-3-4-12(8-18-16(21)17(22)23)14(7-11)19-13-5-6-13/h3-4,7,13,19H,5-6,8H2,1-2H3,(H,18,21)(H,22,23);CC1=NOC(C)=C1C1=CC(NC2CC2)=C(CNC(=O)C(=O)O)C=C1;5.11497929229344;-5.078281088542738;3.0699996948242188;104.46000671386719;1.0699996948242188;2;6;0;7;329.36;3
InChI=1S/C17H22N4O3/c1-5-18-13-8-11(14-9(2)20-24-10(14)3)6-7-12(13)15-16(22)21(4)17(23)19-15/h6-8,15-16,18,22H,5H2,1-4H3,(H,19,23);CCNC1=C(C2NC(=O)N(C)C2O)C=CC(C2=C(C)ON=C2C)=C1;5.434783159715645;-5.391850025240196;3.1670000553131104;90.62999725341797;1.1670000553131104;2;4;2;7;330.39;3
InChI=1S/C22H26N8O/c1-14-20(15(2)31-27-14)16-4-5-17(11-23)19(10-16)30-22-18(12-26-30)21(24-13-25-22)29-8-6-28(3)7-9-29/h4-5,10,12-13H,6-9,11,23H2,1-3H3;CC1=NOC(C)=C1C1=CC(N2N=CC3=C(N4CCN(C)CC4)N=CN=C32)=C(CN)C=C1;5.86251097926972;-5.434351657119632;5.458999872207642;102.1300048828125;1.4589998722076416;4;4;0;9;418.50;1
InChI=1S/C16H19NO4/c1-5-20-16(18)14-8-12(6-7-13(14)9-19-4)15-10(2)17-21-11(15)3/h6-8H,5,9H2,1-4H3;CCOC(=O)C1=C(COC)C=CC(C2=C(C)ON=C2C)=C1;5.204001597780847;-5.014738815911647;4.722999811172485;61.55999755859375;2.7229998111724854;2;5;0;5;289.33;0
InChI=1S/C17H20N2O4/c1-5-18-15(20)9-12-6-7-13(8-14(12)17(21)22-4)16-10(2)19-23-11(16)3/h6-8H,5,9H2,1-4H3,(H,18,20);CCNC(=O)CC1=C(C(=O)OC)C=C(C2=C(C)ON=C2C)C=C1;5.35707728858278;-5.241678137634819;4.184000015258789;81.43000030517578;2.184000015258789;2;5;0;6;316.36;1
InChI=1S/C19H27N3O3/c1-11(20)19(24)21-12(2)17-10-16(8-7-15(17)6-5-9-23)18-13(3)22-25-14(18)4/h7-8,10-12,23H,5-6,9,20H2,1-4H3,(H,21,24);CC1=NOC(C)=C1C1=CC(C(C)NC(=O)C(C)N)=C(CCCO)C=C1;5.208074506109481;-5.124166363130654;3.8879995346069336;101.3800048828125;1.8879995346069336;2;7;2;6;345.44;3
InChI=1S/C15H16N2O4/c1-8-14(9(2)21-17-8)10-4-5-12(15(19)20-3)11(6-10)7-13(16)18/h4-6H,7H2,1-3H3,(H2,16,18);COC(=O)C1=C(CC(N)=O)C=C(C2=C(C)ON=C2C)C=C1;5.101976706406813;-5.0582579482663785;3.248999834060669;95.41999816894531;1.248999834060669;2;4;0;6;288.30;1
InChI=1S/C17H23N3O2/c1-6-13-7-8-14(16-11(4)20-22-12(16)5)9-15(13)19-17(21)18-10(2)3/h7-10H,6H2,1-5H3,(H2,18,19,21);CCC1=C(NC(=O)NC(C)C)C=C(C2=C(C)ON=C2C)C=C1;5.4349500246951745;-5.080964391184484;5.335999965667725;67.15999603271484;3.3359999656677246;2;6;0;5;301.39;2
InChI=1S/C17H22N2O3/c1-10(9-18)15-6-5-13(7-14(15)8-16(20)21-4)17-11(2)19-22-12(17)3/h5-7,10H,8-9,18H2,1-4H3;COC(=O)CC1=C(C(C)CN)C=CC(C2=C(C)ON=C2C)=C1;5.308275411540372;-5.1811986252493805;4.291999816894531;78.3499984741211;2.2919998168945312;2;5;1;5;302.37;1
